college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college,ec_parent_ses_college_quartile,bias_own_ses_college_quartile,change_ses
227900,Lawrence Technological University,48075,26125,294.6666666666667,1.49619,0.04157,1.35537,0.054359999,1.63077,0.033459999,1.3634599,0.048280001,1.55293,1.32494,0.036529999,-0.02297,-0.050129998,-0.029069999,0.41097999,0.99787998,0.05886,3,4,1.301010001
228200,Madonna University,48150,26163,207,1.6055501,0.060279999,1.35597,0.073100001,1.78207,0.033980001,1.38506,0.05804,1.69034,1.37082,0.050159998,0.01083,-0.054269999,-0.01039,0.3328,0.97477001,0.072619997,3,4,1.282869999
228800,Rochester University,48307,26125,,1.60107,0.05466,1.29459,0.077349998,1.66083,0.045600001,1.33834,0.0691,1.5784301,1.31745,-0.01435,0.01736,-0.052209999,-0.015860001,0.49195001,0.99466002,0.053309999,3,2,1.217240002
229000,Michigan State University,48824,26065,6799,1.48201,0.01397,1.32909,0.01486,1.80187,0.00607,1.50968,0.01083,1.63169,1.39885,0.091729999,0.049869999,-0.1043,-0.079230003,0.1656,0.98588997,0.076899998,3,4,1.31423
229200,Michigan Technological University,49931,26061,1068.666666666667,1.60355,0.021059999,1.22787,0.02696,1.70813,0.01627,1.26054,0.02602,1.57702,1.22078,-0.01682,-0.00581,-0.083140001,-0.032570001,0.24271999,0.99523002,0.064240001,3,2,1.20091
229300,Lake Superior State University,49783,26033,482.3333333333333,1.49892,0.03159,0.94751,0.039209999,1.60967,0.024560001,1.00555,0.038509998,1.4551899,0.96465999,-0.03005,0.01778,-0.10616,-0.042380001,0.27904999,0.99589998,0.12818,2,1,0.908300001
229400,Monroe County Community College,48161,26115,693,1.29363,0.03021,1.10877,0.036559999,1.44745,0.02437,1.15891,0.03438,1.30525,1.10861,0.00891,-0.00014,-0.10894,-0.045370001,0.25911,0.98912001,0.088739999,2,3,1.072210001
229500,Montcalm Community College,48885,26117,267.5,1.16199,0.040630002,0.73192,0.04386,1.2972701,0.034309998,0.74013001,0.047060002,1.10624,0.71508002,-0.0504,-0.02355,-0.17269,-0.035020001,0.27673,0.98079997,0.22130001,1,1,0.68806
229700,Muskegon Community College,49442,26121,891.6666666666666,1.15523,0.023709999,0.83069998,0.02658,1.41351,0.019269999,0.94294,0.02602,1.19549,0.84878999,0.033670001,0.02132,-0.18237001,-0.11092,0.24399,0.98531002,0.082099997,1,4,0.80411998
229900,North Central Michigan College,49770,26047,373.6666666666667,1.08147,0.038430002,0.74194998,0.045400001,1.2389801,0.033810001,0.79518002,0.04789,1.0841,0.74182999,0.00243,-0.00016,-0.14286,-0.07192,0.28979,0.98901999,0.10136,1,3,0.696549979
230100,Northern Michigan University,49855,26103,1525.666666666667,1.44593,0.01819,1.0341901,0.02187,1.60914,0.01343,1.13034,0.02132,1.44479,1.06813,-0.00079,0.031769998,-0.11376,-0.05824,0.21478,0.99504,0.13202,2,3,1.0123201
230200,Northwestern Michigan College,49686,26055,830.3333333333334,1.2196,0.028480001,0.80123001,0.03207,1.39422,0.02365,0.84074003,0.03229,1.21895,0.81102002,-0.00053,0.01207,-0.14379001,-0.036649998,0.23939,0.98681003,0.1133,1,3,0.76916001
230300,Oakland Community College,48304,26125,3193.333333333333,1.01535,0.02492,0.89793003,0.03131,1.3881,0.02005,1.11391,0.030239999,1.16484,0.98887002,0.12834001,0.091959998,-0.19167,-0.12645,0.20183,0.92567998,0.06075,2,4,0.86662003
230700,Oakland University,48309,26125,1665.666666666667,1.53694,0.02049,1.3126301,0.025359999,1.72181,0.01266,1.39291,0.021260001,1.5915,1.31208,0.034290001,-0.00042,-0.081880003,-0.0616,0.19439,0.96903002,0.057080001,3,4,1.287270101
230800,Olivet College,49076,26045,140,1.44458,0.039820001,1.07252,0.049600001,1.60462,0.03008,1.08956,0.04857,1.4316601,1.03844,-0.00903,-0.03283,-0.12081,-0.049240001,0.41510001,1,0.081289999,2,2,1.022919999
231000,St Clair County Community College,48061,26147,788.3333333333334,1.14239,0.02808,0.97166997,0.033720002,1.3185101,0.02399,1.00982,0.03218,1.13524,0.96851999,-0.0063,-0.00326,-0.16144,-0.042640001,0.26815,0.99071997,0.08185,2,2,0.937949968
231100,Kuyper College,49525,26081,,,,,,,,,,,,,,,,0.63864076,0.99946284,0.089955628,,,0
